name,country,region,winery,rating,no_ratings,price,year,type
Petit Jaug Margaux 2012,France,Margaux,Clos du Jaugueyron,3.9,123,25.0,2012,red
Alentejano Reserva Tinto 2016,Portugal,Alentejano,Herdade dos Grous,4.3,123,37.9,2016,red
Haut-Médoc 2005,France,Haut-Médoc,Château Tour du Haut Moulin,3.7,123,27.95,2005,red
Odé d'Aydie Madiran 2016,France,Madiran,Château d'Aydie,3.7,123,12.9,2016,red
Instinct Parcellaire Côtes de Provence 2015,France,Côtes de Provence,Château des Bormettes,3.7,123,21.93,2015,red
Rosso di Montalcino Banditella 2016,Italy,Rosso di Montalcino,Col d'Orcia,3.8,123,18.5,2016,red
Eremo San Quirico 2016,Italy,Irpinia Campi Taurasini,Nativ,4.2,1232,17.45,2016,red
Rioja Reserva 2009,Spain,Rioja,Luis Cañas,3.9,1233,34.99,2009,red
De Chiripa 2017,Spain,Ribera del Duero,Valderiz,3.6,124,15.27,2017,red
Colección Crianza 2013,Spain,Navarra,Castillo de Enériz,4.1,124,12.3,2013,red
Leradici Barbera d'Asti 2018,Italy,Barbera d'Asti,Mauro Molino,4.0,124,15.47,2018,red
Merlot 2017,Israel,Galilee,Gamla,3.9,124,15.05,2017,red
Barolo Pajana 2011,Italy,Barolo,Domenico Clerico,4.2,124,63.92,2011,red
Al-Muvedre Tinto Monastrell 2018,Spain,Alicante,Telmo Rodriguez,3.6,124,6.95,2018,red
Geremia Toscana 2013,Italy,Toscana,Rocca di Montegrossi,4.1,124,29.95,2013,red
Margaux (Grand Cru Classé) 2017,France,Margaux,Château Giscours,3.8,124,70.19,2017,red
Saint-Estèphe 2016,France,Saint-Estèphe,Château Le Crock,4.0,124,38.25,2016,red
Monopole 'Clos des Langres' Rouge 2014,France,Côte de Nuits Villages,Ardhuy,4.2,124,35.5,2014,red
Barolo Brunate 2011,Italy,Barolo,Vietti,4.4,124,144.53,2011,red
The Long Walk Shiraz 2018,South Africa,Western Cape,Footprint,3.5,124,6.5,2018,red
Cabernet Sauvignon 2015,South Africa,Stellenbosch,Zevenwacht,3.8,124,13.82,2015,red
País 2015,Chile,Itata Valley,Viña La Causa,3.8,124,11.55,2015,red
Rouge 2015,France,Gard,Roc d'Anglade,3.9,124,36.46,2015,red
La Napoleon Beaujolais Villages 2017,France,Beaujolais-Villages,Clotaire Michal,3.8,124,35.0,2017,red
Vi de Vila Gratallops 2017,Spain,Priorat,Álvaro Palacios,4.3,124,47.95,2017,red
Shiraz 2017,Australia,McLaren Vale,Jim Jim,3.4,124,11.6,2017,red
