name,country,region,winery,rating,no_ratings,price,year,type
Grauburgunder - Weissburgunder 2019,Germany,Pfalz,Weingut A. Diehl,3.4,25,7.05,2019,white
Weisser Burgunder Trocken 2013,Germany,Rheinhessen,Wittmann,3.9,25,10.63,2013,white
Ruppertsberg Riesling 2017,Germany,Pfalz,A. Christmann,3.7,25,19.87,2017,white
Weissburgunder Trocken 2017,Germany,Ahr,Burggarten,3.9,25,10.72,2017,white
Deep Blue 2018,Germany,Nahe,Martin Tesch,3.5,25,10.9,2018,white
Gewrztraminer - Riesling Trocken 2017,Germany,Pfalz,Knipser,3.9,25,10.9,2017,white
Veneto Bianco 2017,Italy,Veneto,Cantina di Soave,2.7,25,5.42,2017,white
Kalk & Stein 2017,Germany,Pfalz,Rings,4.1,25,16.7,2017,white
Schlossberg 2017,Germany,Rheingau,Schloss Vollrads,3.9,25,27.78,2017,white
Schick und Schn 2018,Germany,German Wine,Tina Pfaffmann,3.7,25,10.9,2018,white
R Chardonnay Nature 2018,Germany,Pfalz,Weingut Seckinger,3.7,25,15.4,2018,white
Johannisberg Riesling Alte Reben Trocken 2018,Germany,Rheingau,Trenz,3.8,25,11.9,2018,white
Live Wire Riesling 2019,Australia,Barossa,Langmeil,3.5,25,11.95,2019,white
Alejairn Airen 2017,Spain,La Mancha,El Vnculo,3.6,25,18.42,2017,white
Pinot Gris 2016,Luxembourg,Luxembourg,Chteau de Schengen,4.1,25,21.44,2016,white
Muscadet Svre-et-Maine Sur Lie 2017,France,Muscadet-Sevre et Maine,Marc Brdif,3.9,25,14.38,2017,white
W Riesling 2016,Germany,Mosel,Markus Molitor,3.4,25,31.68,2016,white
Ried Schafflerberg Grner Veltliner 2018,Austria,Wagram,Leth,3.9,25,12.07,2018,white
Westhofener Weisser Burgunder - Chardonnay Trocken 2017,Germany,Rheinhessen,Wittmann,4.1,25,18.53,2017,white
Schiefer Riesling Trocken 2018,Germany,Mosel,Villa Huesgen,3.6,25,14.11,2018,white
Castel Firmian Pinot Grigio Riserva 2018,Italy,Teroldego Rotaliano,Mezzacorona,4.0,25,9.37,2018,white
Grauer Burgunder Trocken 2016,Germany,Baden,Bernhard Huber,3.8,25,17.79,2016,white
Chenin Blanc 2018,South Africa,Robertson,Klippenkop,3.6,25,6.54,2018,white
Cte de Rouffach Pinot Gris 2017,France,Alsace,Ren Mur,4.1,25,15.5,2017,white
Chardonnay Kalkstein Trocken 2018,Germany,Rheinhessen,Manz,3.9,25,11.5,2018,white
La Trucha Albario 2019,Spain,Ras Baixas,Finca Garabelos,4.3,25,14.7,2019,white
Schlossberg Achkarren Grauburgunder GG 2016,Germany,Baden,Dr. Heger,4.0,25,28.0,2016,white
Frhtau Riesling Trocken 2018,Germany,Nahe,Emrich-Schnleber,3.9,26,17.5,2018,white
Pouilly-Vinzelles En Paradis 2018,France,Pouilly-Vinzelles,Louis Latour,3.8,26,15.98,2018,white
Sauvignon Blanc 2019,Germany,Pfalz,Ellermann-Spiegel,4.1,26,7.36,2019,white
Weissburgunder Trocken 2018,Germany,Nahe,Emrich-Schnleber,3.8,26,15.5,2018,white
Pinot Grigio 2019,Italy,Terre Siciliane,Epicuro,3.5,26,5.5,2019,white
Sauvignon Blanc Reserva 2018,Chile,Maipo Valley,Escudo Rojo,3.5,26,7.36,2018,white
Villa Blanche Sauvignon Blanc 2018,France,Pays d'Oc,Calmel & Joseph,3.4,26,7.4,2018,white
Greco di Tufo 2018,Italy,Campania,Pietracupa,4.0,26,23.65,2018,white
Spring Fever Chardonnay 2018,Australia,Eden Valley,Langmeil,3.6,26,11.95,2018,white
Collemare Marche Bianco 2016,Italy,Marche,Roberto Lucarelli,3.9,26,10.95,2016,white
Lotterbrunnen Gewrztraminer 2016,Italy,Sdtirol - Alto Adige,Castel Sallegg,4.1,26,11.5,2016,white
Jal (Tenuta Ficuzza) 2018,Italy,Sicilia,Cusumano,4.1,26,15.5,2018,white
Meursault Blanc 2017,France,Meursault,Bouchard Pre & Fils,3.8,26,38.7,2017,white
Sauvignon Blanc 2018,Hungary,Tolna,Tzk,3.5,26,7.66,2018,white
Monte Carbonare 2018,Italy,Soave Classico,Suavia,4.1,26,12.3,2018,white
