name,country,region,winery,rating,no_ratings,price,year,type
Valdobbiadene Prosecco Superiore Brut N.V.,Italy,Prosecco di Treviso,Val d'Oca,3.7,921,11.6,N.V.,sparkling
Grner Veltliner Brut N.V.,Austria,Niedersterreich,Szigeti,3.8,928,12.87,N.V.,sparkling
Quartese Valdobbiadene Prosecco Superiore Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Ruggeri,3.7,935,10.99,N.V.,sparkling
Argeo Prosecco Brut N.V.,Italy,Prosecco di Treviso,Ruggeri,3.6,952,9.89,N.V.,sparkling
Maximum Ros N.V.,Italy,Trento,Ferrari,3.9,957,23.99,N.V.,sparkling
Brut N.V.,Italy,Trentino-Alto Adige,Arunda,3.7,958,19.8,N.V.,sparkling
Blanc de Blancs Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Marc Hbrart,4.1,958,31.5,N.V.,sparkling
Frizzante Ros N.V.,Italy,Veneto,Villa Teresa,3.9,965,7.2,N.V.,sparkling
Otello 1813 Nero di Lambrusco 2015,Italy,Emilia,Ceci,4.0,974,14.9,2015,sparkling
Franciacorta Cuve Prestige Ros N.V.,Italy,Franciacorta,Ca' del Bosco,4.0,982,38.9,N.V.,sparkling
Slection Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Marc Hbrart,4.1,998,33.0,N.V.,sparkling
Cava Extremarium de Mont Maral Reserva Brut N.V.,Spain,Cava,Mont Maral,3.6,1003,10.95,N.V.,sparkling
Brut Apanage Prestige Champagne N.V.,France,Champagne,Pommery,4.1,1008,65.49,N.V.,sparkling
Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Bepin de Eto,3.8,1009,10.85,N.V.,sparkling
Sparkling Angel Brut N.V.,Chile,Central Valley,Montes,3.6,1009,18.5,N.V.,sparkling
Cuve Essentiel Brut Champagne N.V.,France,Champagne,Piper-Heidsieck,3.9,1016,42.99,N.V.,sparkling
Gold White N.V.,Italy,Oltrep Pavese,Bottega,3.7,1016,22.5,N.V.,sparkling
Ros Brut N.V.,Italy,Veneto,Foss Marai,3.8,1020,14.0,N.V.,sparkling
Cuve de Reserve Brut Champagne N.V.,France,Champagne,Gallimard Pre & Fils,4.1,1023,55.0,N.V.,sparkling
Blanc de Blancs Reserva N.V.,Spain,Cava,Anna de Codorniu,3.7,1033,16.32,N.V.,sparkling
Ros Brut Champagne (Vintage) 2011,France,Champagne,Louis Roederer,4.3,1033,62.9,2011,sparkling
Surfine Cuve Brut N.V.,Italy,Veneto,Foss Marai,3.7,1034,12.7,N.V.,sparkling
Brut Ros N.V.,Austria,Niedersterreich,Weingut Brndlmayer,4.0,1034,23.66,N.V.,sparkling
Brut Classique N.V.,South Africa,Stellenbosch,L'Ormarins,3.8,1035,17.49,N.V.,sparkling
Casa di Malia Prosecco (Organic) N.V.,Italy,Prosecco,Botter,3.8,1041,9.71,N.V.,sparkling
Blanc de Blancs Brut Champagne N.V.,France,Champagne,Bruno Paillard,4.3,1051,64.95,N.V.,sparkling
Cava Brut Ros N.V.,Spain,Cava,Castillo Perelada,3.5,1062,12.9,N.V.,sparkling
Brut Millsim Champagne 2006,France,Champagne,Laurent-Perrier,4.2,1074,54.0,2006,sparkling
Brut Grand Millesim Champagne 2006,France,Champagne,Gosset,4.2,1086,67.5,2006,sparkling
Les Folies de la Marquetterie Champagne N.V.,France,Champagne,Taittinger,4.1,1087,64.27,N.V.,sparkling
Filanda Ros Brut Millesimato Riserva N.V.,Italy,Oltrep Pavese,Bortolomiol,3.9,1114,14.88,N.V.,sparkling
Pinot Noir Brut Nature Ros Champagne N.V.,France,Champagne,Drappier,4.0,1115,36.79,N.V.,sparkling
Blanc de Blancs N.V.,Italy,Franciacorta,Montenisa,3.8,1120,32.07,N.V.,sparkling
Origine Brut Champagne N.V.,France,Champagne,Mandois,3.8,1125,28.45,N.V.,sparkling
Crmant de Bourgogne Brut Blanc de Blancs N.V.,France,Crmant de Bourgogne,Cave de Lugny,3.6,1126,11.85,N.V.,sparkling
Il Fresco Blanc de Blancs Brut N.V.,Italy,Veneto,Villa Sandi,3.5,1134,6.9,N.V.,sparkling
Prosecco Treviso Extra Dry N.V.,Italy,Prosecco di Treviso,Val d'Oca,3.5,1155,8.68,N.V.,sparkling
Essentiel Cuve Rserve Brut Champagne N.V.,France,Champagne,Piper-Heidsieck,3.9,1158,46.01,N.V.,sparkling
Vivo Blu N.V.,Italy,Veneto,Mionetto,3.5,1163,8.39,N.V.,sparkling
Valdobbiadene Prosecco Superiore Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Borgo Molino,3.7,1164,13.4,N.V.,sparkling
Crmant de Loire Brut Blanc N.V.,France,Crmant de Loire,Monmousseau,3.6,1165,12.9,N.V.,sparkling
'Giulio Ferrari' Riserva del Fondatore 2007,Italy,Trento,Ferrari,4.6,1191,122.27,2007,sparkling
Prosecco Treviso Extra Dry N.V.,Italy,Prosecco di Treviso,Montelliana,3.7,1194,8.5,N.V.,sparkling
Excellence Brut Ros N.V.,France,Loire Valley,Bouvet-Ladubay,3.8,1204,12.0,N.V.,sparkling
Concerto Lambrusco Reggiano 2017,Italy,Reggiano,Medici Ermete,3.7,1204,10.67,2017,sparkling
Strada di Guia 109 Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Foss Marai,3.8,1231,13.72,N.V.,sparkling
La Grande Anne Brut Champagne 2008,France,Champagne,Bollinger,4.5,1237,121.15,2008,sparkling
Flamingo Brut Ros N.V.,Italy,Franciacorta,Monte Rossa,3.8,1242,27.9,N.V.,sparkling
Franciacorta Brut N.V.,Italy,Franciacorta,Ricci Curbastro,3.8,1247,23.0,N.V.,sparkling
Ros de Saigne Champagne Premier Cru N.V.,France,Champagne Premier Cru,Larmandier-Bernier,4.1,1251,67.5,N.V.,sparkling
Grande Reserve Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,J.M. Gobillard & Fils,3.9,1254,31.95,N.V.,sparkling
Prosecco N.V.,Italy,Prosecco,Canella,3.6,1266,10.18,N.V.,sparkling
Prosecco Treviso Extra Dry N.V.,Italy,Prosecco di Treviso,Viticoltori Ponte,3.6,1272,8.9,N.V.,sparkling
Blanc de Blancs Brut Champagne Grand Cru 'A' N.V.,France,Champagne Grand Cru 'A',Lallier,4.0,1306,55.05,N.V.,sparkling
Brut Champagne (Extra Cuve de Rserve) 2012,France,Champagne,Pol Roger,4.4,1315,60.44,2012,sparkling
Rive di San Pietro di Barbozza Valdobbiadene Prosecco Superiore N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Val d'Oca,3.9,1322,12.9,N.V.,sparkling
Cava Brut Rosado N.V.,Spain,Cava,Segura Viudas,3.5,1333,9.5,N.V.,sparkling
Ros Champagne N.V.,France,Champagne,Barons de Rothschild (Lafite),4.1,1348,65.38,N.V.,sparkling
Quartet Brut N.V.,United States,Anderson Valley,Roederer Estate,3.7,1354,34.9,N.V.,sparkling
Perle Rose Brut Champagne N.V.,France,Champagne,Alexandre Bonnet,3.6,1356,36.85,N.V.,sparkling
Demi-Sec N.V.,Italy,Trento,Ferrari,3.7,1362,23.87,N.V.,sparkling
Crmant de Loire Brut N.V.,France,Crmant de Loire,De Chanceny,3.7,1370,11.95,N.V.,sparkling
Prosecco N.V.,Italy,Prosecco,Villa Teresa,3.8,1396,7.6,N.V.,sparkling
Brut Ros Champagne 2006,France,Champagne,Dom Prignon,4.6,1414,315.0,2006,sparkling
Moxxe Pinot Grigio - Verduzzo N.V.,Italy,Valpolicella,Masi,3.6,1424,15.2,N.V.,sparkling
Cuve Sublime Demi-Sec Champagne N.V.,France,Champagne,Piper-Heidsieck,4.0,1434,39.99,N.V.,sparkling
Blanc de Blancs Brut Champagne Grand Cru 'Chouilly' N.V.,France,Champagne Grand Cru 'Chouilly',Legras & Haas,4.0,1435,41.93,N.V.,sparkling
Arte Tradicional Brut Espumante 2017,Brazil,Vale dos Vinhedos,Casa Valduga,3.8,1440,13.47,2017,sparkling
Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Autrau de Champillon,3.9,1459,23.9,N.V.,sparkling
Asti N.V.,Italy,Asti,Acquesi,3.9,1487,7.96,N.V.,sparkling
Grande Rserve Brut Champagne N.V.,France,Champagne,Veuve A. Devaux,3.8,1490,29.9,N.V.,sparkling
Tresor Brut N.V.,France,Saumur,Bouvet-Ladubay,3.8,1508,16.2,N.V.,sparkling
Cava Reserva Brut N.V.,Spain,Cava,Mont Maral,3.6,1510,7.75,N.V.,sparkling
Cava Barcelona Brut Reserva N.V.,Spain,Cava,Vilarnau,3.7,1513,11.98,N.V.,sparkling
